City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
427,saudarkrokur,65.7461,-19.6394,-2.42,91,100,5.68,IS,1713183482
428,kainantu,-6.2887,145.8655,16.81,97,41,0.63,PG,1713183483
429,bibir hat,22.6873,91.7853,32.49,36,2,3.68,BD,1713183483
430,arawa,-6.2132,155.5367,26.27,91,100,1.5,PG,1713183484
431,wuxue,29.8506,115.5525,23.88,86,84,2.29,CN,1713183484
432,letterkenny,54.95,-7.7333,8.96,71,37,9.28,IE,1713183485
433,novosergiyevka,52.0934,53.6528,12.51,54,94,6.74,RU,1713183485
434,urucara,-2.5364,-57.76,26.41,85,100,2.12,BR,1713183486
435,vorkuta,67.5,64.0,-7.16,91,98,5.36,RU,1713183486
436,ebon,4.582,168.6964,28.13,79,94,3.87,MH,1713183487
437,guerrero negro,27.9769,-114.0611,14.53,73,47,9.67,MX,1713183430
438,sanming,26.2486,117.6186,26.63,72,100,0.98,CN,1713183488
439,daru,-9.0763,143.2092,27.76,87,40,4.04,PG,1713183488
440,an nuhud,12.7,28.4333,39.37,5,69,5.58,SD,1713183489
441,tyumen,57.1522,65.5272,10.05,27,0,4.0,RU,1713183390
442,jesup,31.6074,-81.8854,16.51,88,0,0.0,US,1713183321
443,tukzar,35.9483,66.4213,8.04,88,100,1.18,AF,1713183490
444,sabana iglesia,19.3211,-70.7599,23.13,100,20,0.0,DO,1713183491
445,kurumkan,54.3,110.3,7.29,45,43,1.34,RU,1713183491
446,sona,45.4388,10.8255,24.76,35,40,6.17,IT,1713183492
447,genhe,50.7833,121.5167,1.84,82,100,2.96,CN,1713183493
448,vadso,70.0744,29.7487,0.49,93,75,8.75,NO,1713183493
449,saurimo,-9.6608,20.3916,27.18,62,46,2.23,AO,1713183494
450,machico,32.7,-16.7667,26.74,68,100,4.12,PT,1713183494
451,dongola,19.1667,30.4833,35.79,7,0,6.99,SD,1713183495
452,kiunga,-6.1219,141.2906,25.24,95,100,0.96,PG,1713183496
453,wynyard,-41.0,145.7167,11.91,78,100,2.93,AU,1713183496
454,rio grande,-32.035,-52.0986,24.06,90,100,8.79,BR,1713183263
455,bel ombre,-4.6167,55.4167,29.38,70,54,0.52,SC,1713183497
456,balabac,7.9868,117.0645,28.28,80,9,5.53,PH,1713183498
457,karis,60.0718,23.6616,9.79,65,95,5.08,FI,1713183498
458,urengoy,65.9667,78.3667,-14.25,86,90,4.69,RU,1713183499
459,kafue,-15.7691,28.1814,23.31,64,98,2.88,ZM,1713183499
460,kerikeri,-35.2268,173.9474,10.51,90,9,1.64,NZ,1713183500
461,media luna,20.1419,-77.435,24.32,84,14,5.52,CU,1713183500
462,kodinsk,58.6881,99.1844,6.91,97,100,2.45,RU,1713183501
463,forster,-32.1667,152.5167,19.6,97,99,2.36,AU,1713183501
464,aras-asan,8.8908,126.3033,26.63,85,93,3.0,PH,1713183501
465,huarmey,-10.0681,-78.1522,20.83,89,98,4.53,PE,1713183502
466,ta`u,-14.2336,-169.5144,28.73,80,99,8.05,AS,1713183502
467,abu jibeha,11.4562,31.2285,39.25,6,70,3.11,SD,1713183503
468,caleta de carquin,-11.0925,-77.6267,20.23,91,95,4.4,PE,1713183437
469,nova vicosa,-17.8919,-39.3719,26.55,79,40,4.5,BR,1713183504
470,lemvig,56.5486,8.3102,9.0,82,100,7.53,DK,1713183504
471,guise,49.9006,3.628,10.92,78,59,11.59,FR,1713183505
472,arkalyk,50.2486,66.9114,11.06,48,95,2.01,KZ,1713183505
473,mantsala,60.6609,25.2838,8.82,91,100,3.8,FI,1713183506
474,luau,-10.7073,22.2247,24.69,75,45,2.12,AO,1713183506
475,aswan,24.0934,32.907,32.77,11,7,8.56,EG,1713183321
476,beruniy,41.6911,60.7525,23.98,29,100,4.12,UZ,1713183508
477,mizhou,35.9947,119.3975,16.46,82,58,2.56,CN,1713183508
478,san felipe,10.3399,-68.7425,23.79,75,84,2.82,VE,1713183509
479,burang,30.25,81.1667,2.96,84,100,3.87,CN,1713183509
480,kargopol',61.5071,38.9456,4.42,92,100,2.73,RU,1713183509
481,ar ruways,24.1103,52.7306,30.88,38,86,5.98,AE,1713183510
482,butembo,0.15,29.2833,27.46,38,33,1.25,CD,1713183510
483,pleasanton,37.6624,-121.8747,11.01,87,100,1.54,US,1713183347
484,klyuchi,52.2667,79.1667,10.02,43,51,4.16,RU,1713183511
485,kapa'a,22.0752,-159.319,23.99,78,0,5.14,US,1713183512
486,royston,52.0483,-0.0244,11.86,60,72,10.91,GB,1713183372
487,aiquile,-18.2041,-65.1807,15.97,81,24,2.0,BO,1713183513
488,el granada,37.5027,-122.4694,11.94,89,100,2.57,US,1713183513
489,kidal,18.4411,1.4078,30.16,12,60,4.81,ML,1713183514
490,kosh-agach,50.0,88.6667,8.5,41,14,0.45,RU,1713183514
491,castillos,-34.1667,-53.8333,21.24,97,100,6.36,UY,1713183515
492,floro,61.5996,5.0328,10.04,40,75,6.69,NO,1713183516
493,bafq,31.6128,55.4107,25.57,15,29,1.51,IR,1713183516
494,port douglas,-16.4833,145.4667,25.93,92,100,6.62,AU,1713183517
495,ngorongoro,-3.2397,35.4875,17.05,80,69,3.25,TZ,1713183517
496,ponta delgada,37.7333,-25.6667,19.4,77,20,7.72,PT,1713183518
497,cannonvale,-20.2833,148.7,26.66,72,21,7.48,AU,1713183518
498,mulayjah,27.271,48.4242,30.07,26,60,7.25,SA,1713183519
499,arteche,12.2645,125.4048,25.67,84,14,2.43,PH,1713183519
500,villa de cos,23.2833,-102.35,15.85,41,83,3.25,MX,1713183520
501,loango,-4.6719,11.8312,31.81,70,40,4.12,CG,1713183521
502,saint-philippe,-21.3585,55.7679,27.28,89,100,6.12,RE,1713183521
503,ust'-kut,56.7938,105.7672,3.02,99,100,1.79,RU,1713183522
504,rice lake,45.5061,-91.7382,6.92,54,0,2.06,US,1713183235
505,jeremie,18.65,-74.1167,26.0,82,31,1.8,HT,1713183523
506,zaozersk,69.4005,32.4476,-0.21,98,100,9.46,RU,1713183523
507,kon tum,14.35,108.0,27.4,44,78,1.97,VN,1713183524
508,pagar alam,-4.0167,103.2667,22.34,97,98,0.72,ID,1713183524
509,vizinga,61.0749,50.1031,10.28,59,55,5.97,RU,1713183524
510,celendin,-6.8703,-78.1517,11.29,91,74,0.45,PE,1713183525
511,las tablas,7.7667,-80.2833,24.54,99,48,6.21,PA,1713183526
512,lodwar,3.1191,35.5973,36.17,30,100,4.61,KE,1713183527
513,lintong,34.378,109.2089,18.81,37,0,3.39,CN,1713183527
514,san bernardo del viento,9.3533,-75.9524,27.7,79,99,3.72,CO,1713183528
515,avanos,38.715,34.8467,19.07,29,1,4.49,TR,1713183528
516,mareeba,-17.0,145.4333,23.58,91,100,1.47,AU,1713183529
517,onega,63.9061,38.1404,3.21,99,100,3.25,RU,1713183529
518,zeya,53.75,127.2667,3.6,95,100,2.69,RU,1713183530
519,walvis bay,-22.9575,14.5053,26.53,38,0,6.17,,1713183531
520,sao tome,0.3365,6.7273,29.72,69,67,2.28,ST,1713183532
521,kamyanyets,52.4001,23.81,14.04,70,95,5.66,BY,1713183532
522,zabaykal'sk,49.6333,117.3167,6.1,46,10,2.1,RU,1713183533
523,labuan,5.2767,115.2417,29.16,76,50,3.12,MY,1713183533
524,abaza,52.655,90.0928,14.67,53,49,3.73,RU,1713183533
525,fort-shevchenko,44.5086,50.263,13.33,76,88,4.69,KZ,1713183534
526,opuwo,-18.0607,13.84,33.6,24,10,3.58,,1713183534
527,quixada,-4.9714,-39.0153,26.85,85,100,1.84,BR,1713183535
528,las heras,-46.5419,-68.9359,9.5,60,1,3.78,AR,1713183359
529,urangan,-25.3,152.9,21.22,80,3,3.13,AU,1713183536
530,hilo,19.7297,-155.09,22.01,93,20,0.0,US,1713183536
531,wenchang,30.904,118.4887,22.97,80,80,2.57,CN,1713183537
532,grand baie,-20.0182,57.5802,29.13,70,66,2.24,MU,1713183537
533,brokopondo,4.75,-55.1667,25.85,86,98,3.33,SR,1713183538
534,malanje,-9.5402,16.341,27.24,64,34,1.58,AO,1713183538
535,lerwick,60.1545,-1.1494,9.0,81,83,4.31,GB,1713183448
536,port blair,11.6667,92.75,32.02,58,20,2.06,IN,1713183539
537,sylt-ost,54.8833,8.35,10.61,76,40,8.75,DE,1713183540
538,christchurch,-43.5333,172.6333,12.73,86,20,2.06,NZ,1713183303
539,kangding,30.0513,101.9603,12.69,82,99,0.96,CN,1713183541
540,coyhaique,-45.5752,-72.0662,0.34,85,4,2.01,CL,1713183541
541,thurso,58.5927,-3.5259,8.14,70,100,5.61,GB,1713183542
542,yinchuan,38.4681,106.2731,17.67,12,100,2.81,CN,1713183542
543,klaksvik,62.2266,-6.589,8.51,89,97,9.57,FO,1713183543
544,yangsan,35.3386,129.0386,15.96,94,100,1.03,KR,1713183543
545,kavieng,-2.5744,150.7967,28.28,81,55,4.46,PG,1713183544
546,paris,48.8534,2.3488,14.56,59,100,10.29,FR,1713182799
547,eyl,7.9803,49.8164,31.41,58,84,7.01,SO,1713183545
548,khandyga,62.6667,135.6,-15.69,98,54,1.56,RU,1713183546
549,phillip island,-38.4835,145.231,15.82,71,97,4.45,AU,1713183546
550,robertsport,6.7533,-11.3686,29.18,74,72,1.75,LR,1713183547
551,cuauhtemoc,28.4167,-106.8667,14.98,40,100,2.46,MX,1713183547
552,saynshand,44.8824,110.1163,12.45,21,0,1.68,MN,1713183548
553,sao joao da barra,-21.6403,-41.0511,28.05,71,93,3.47,BR,1713183548
554,siocon,7.7061,122.1353,27.23,82,63,1.06,PH,1713183549
555,yelets,52.6237,38.5017,12.75,37,57,9.7,RU,1713183549
556,sergeyevka,53.88,67.4158,7.92,44,60,0.51,KZ,1713183550
557,sarmiento,-45.5882,-69.07,11.72,66,0,2.19,AR,1713183550
558,nago,26.5881,127.9761,22.86,94,2,1.57,JP,1713183551
559,murun-kuren,49.6342,100.1625,13.05,29,99,1.32,MN,1713183551
560,geltendorf,48.1333,11.0333,13.44,91,75,3.09,DE,1713183552
561,kharovsk,59.9642,40.1912,7.15,68,97,3.59,RU,1713183552
562,smithers,54.7804,-127.1743,-0.82,100,100,1.03,CA,1713183553
563,chatel-guyon,45.9167,3.0667,20.18,46,75,8.23,FR,1713183541
564,portland,45.5234,-122.6762,9.97,78,100,1.54,US,1713183360
565,sosnovo-ozerskoye,52.5249,111.5418,4.01,72,52,4.71,RU,1713183554
566,la'ie,21.6477,-157.9253,21.66,82,94,4.51,US,1713183555
567,kayenta,36.7278,-110.2546,4.89,32,1,8.02,US,1713183555
568,tutong,4.8,114.65,28.05,82,84,0.27,BN,1713183555
569,berezovyy,51.6667,135.7,6.85,80,98,2.07,RU,1713183556
570,nalgonda,17.05,79.2667,39.42,20,6,2.09,IN,1713183557
571,bathsheba,13.2167,-59.5167,28.34,74,20,9.77,BB,1713183557
572,san sebastian de la gomera,28.0916,-17.1133,26.88,69,20,4.63,ES,1713183558
573,kota belud,6.351,116.4305,27.19,81,4,2.13,MY,1713183559
574,saint-hyacinthe,45.6168,-72.9491,7.99,91,99,3.8,CA,1713183559
575,el bolson,-41.9667,-71.5167,8.91,94,17,1.74,AR,1713183560
576,hohhot,40.8106,111.6522,12.16,14,0,3.0,CN,1713183560
